X,Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,vox_size,px_obs,skel_length_mm,vein_density_mm2,end_points,branch_points,areole_num,areole_pix,ariole_mmsq,MAG,Res,pix_mm,conversion,Scope,new_vox_size,skel_length_pix,skel_length_new_mm,areole_area_new_mmsq,area_obs_mmsq,vein_dens_mm2,Date.Created,Lf3_wetMg,Lf4_wetMg,dry_shootsG,Lf4_dryMg,IRGA_ID,IRGA_date,Photo,Cond,Fo,Fm,Fs,Fv,FvFm,VpdL,C02R,PARi,Microcope,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,SLA
37,532,532B,B,3,PI 459020 ,rapa,parent,0.000108302,0.000144402,1.333333333,0.0029784,5026095.073,221.7441223,4.97379356,220.1672474,486.261324,143.5156794,28762.35192,0.255146986,NA,NA,NA,NA,NA,0.0029784,74450.75285,221.7441223,0.255146986,44.58581871,3.218968597,4/17/14,503.3,1054.3,0.13,114.1,IRGA_3,17-Apr-14,27.803247,0.55984896,363.7314453,790.9260254,518.2983398,427.1945801,0.540119514,1.424276,399.2227,1500.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.98,25.609,7.108128558,0.11375986
38,559,559B,B,3,CGN06710 ,rapa,parent,0.00010502,0.000150966,1.4375,0.0029784,4920114,228.0409143,5.224822748,222,508,151,25230.94702,0.223820364,NA,NA,NA,NA,NA,0.0029784,76564.90542,228.0409143,0.223820364,43.64567475,3.459678441,4/13/14,1195.7,820,0.21,73.7,IRGA_4,13-Apr-14,24.88557,0.49633573,339.3400879,789.5620117,611.2451172,450.2219238,0.570217307,1.655358,399.6034,1501.708,Aven Nelson,3,141.138,111.282,123576.545,87.413,51.215,67817.25,25.588,12.471,19086.19,30.915,6.887,18783.691,32.617,40.733,7.132214408,0.44256445
39,572,572B,B,3,CGN17374,napus,hybrid,3.94E-05,0.000101738,2.583333333,0.0029784,5021358,168.7039926,3.787373435,137,251,66,52079.25758,0.461988145,NA,NA,NA,NA,NA,0.0029784,56642.49012,168.7039926,0.461988145,44.54379677,1.481687795,4/13/14,2145.3,1379.1,0.26,111.6,IRGA_4,12-Apr-14,25.630714,0.47752799,282.751709,560.3354492,411.501709,277.5837402,0.495388505,1.37891,400.0175,1499.776,Aven Nelson,2,124.417,98.772,116190.601,107.002,50.681,79805.996,36.619,10.582,24972.083,34.601,8.23,19960.247,45.958,53.495,7.891010685,0.411810036
40,585,585B,B,3,CGN07145,rapa,parent,5.25E-05,0.000118147,2.25,0.0029784,5009080,178.4711346,4.016464848,160,310,84,40266.44048,0.35719822,NA,NA,NA,NA,NA,0.0029784,59921.81527,178.4711346,0.35719822,44.43488027,1.890406804,4/26/14,3428.3,2466.9,0.64,188.8,IRGA_5,23-Apr-14,22.90085,0.30427931,450.4985352,879.9663086,635.5429688,429.4677734,0.488050246,1.481209,400.3921,1499.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.474,57.617,7.471143317,0.315010593
41,596,596B,B,3,PI 633094,juncea,hybrid,6.56E-05,0.000154248,2.35,0.0029784,4557909,198.2472972,4.903154115,170,437,147,25539.17007,0.226554584,NA,NA,NA,NA,NA,0.0029784,66561.67437,198.2472972,0.226554584,40.4326051,3.635679661,4/15/14,1395.9,1030.7,0.19,99.3,Berry,14-Apr-14,30.003016,0.5440996,575.0512695,1240.535522,819.5001221,665.4842529,0.536449171,1.523088,399.2611,1502.097,Aven Nelson,2,173.022,143.45,159013.994,87.008,55.274,73152.581,39.994,11.758,28102.828,30.593,7.152,22104.178,31.087,42.905,7.695174981,0.31306143
42,601,601B,B,3,CGN07129,oleracea,parent,9.19E-05,0.000154248,1.678571429,0.0029784,5003258,266.3612098,6.001392536,209,704,255,16504.80392,0.146411913,NA,NA,NA,NA,NA,0.0029784,89430.97292,266.3612098,0.146411913,44.38323408,5.745412773,4/21/14,4176.3,2112.7,0.29,149.8,IRGA_4,20-Apr-14,21.235084,0.36339018,341.626709,641.3725586,483.7016602,299.7458496,0.467350599,1.547322,399.7858,1498.125,Aven Nelson,3,150.817,122.332,141209.342,122.422,88.254,108073.682,39.976,7.436,27656.467,30.229,9.406,19373.913,79.873,55.077,6.162689377,0.533197597
43,603,603B,B,3,PI 459018 ,rapa,parent,0.000124711,0.000137839,1.105263158,0.0029784,5027838,312.4114115,7.004539144,307,915,327,12577.48624,0.111573202,NA,NA,NA,NA,NA,0.0029784,104892.3622,312.4114115,0.111573202,44.60127998,7.331628153,4/17/17,978.8,960.7,0.11,91.7,Berry,16-Apr-14,33.138217,0.56323572,560.7741699,1201.844971,793.062561,641.0708008,0.533405569,1.488697,400.2575,1501.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.706,37.048,7.453556527,0.269422028
44,606,606B,B,3,CGN06813,rapa,parent,8.53E-05,0.000216604,2.538461538,0.0029784,5022660,273.7733121,6.144566989,239,685,238,17262.65546,0.153134713,NA,NA,NA,NA,NA,0.0029784,91919.59177,273.7733121,0.153134713,44.55534664,5.341670932,4/11/14,2058.6,1656.9,0.27,124.3,Berry,11-Apr-14,20.613923,0.30799522,462.1940918,900.7996826,668.7490845,438.6055908,0.486906911,1.43699,400.2719,1498.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.099,43.361,6.318201121,0.378913918
45,613,613B,B,3,CGN06619,nigra,parent,4.27E-05,9.85E-05,2.307692308,0.0029784,3990808.715,140.9513477,3.98143307,120.6341463,235.0081301,62.18699187,48357.90244,0.428976513,NA,NA,NA,NA,NA,0.0029784,47324.51847,140.9513477,0.428976513,35.40193259,1.756567545,4/12/14,801.9,863.5,0.3,72.6,Berry,11-Apr-14,13.197132,0.09805166,499.7307129,944.5299683,724.553772,444.7992554,0.470921273,1.392049,400.0934,1499.804,Microscopy Core,3,129.03,92.425,107296.486,94.595,43.281,68713.578,35.135,3.604,16054.703,44.153,9.054,16178.07,22.655,38.909,8.174628704,0.312052342
46,626,626B,B,3,CGN06711 ,rapa,parent,0.000137839,0.000154248,1.119047619,0.0029784,5027838,263.6232789,5.910666219,240,597,188,18980.05319,0.168369519,NA,NA,NA,NA,NA,0.0029784,88511.71062,263.6232789,0.168369519,44.60127998,4.215125666,4/11/14,1327.2,1114,0.23,129.7,Berry,11-Apr-14,11.535165,0.07183651,528.050293,913.9944458,699.6629028,385.9441528,0.422260939,1.579852,400.6521,1501.25,Aven Nelson,3,138.448,92.593,117022.666,93.491,71.434,83529.296,36.155,10.655,26080.208,30.034,9.498,18282.119,33.121,42.159,7.325522062,0.25536623
