X,Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,vox_size,px_obs,skel_length_mm,vein_density_mm2,end_points,branch_points,areole_num,areole_pix,ariole_mmsq,MAG,Res,pix_mm,conversion,Scope,new_vox_size,skel_length_pix,skel_length_new_mm,areole_area_new_mmsq,area_obs_mmsq,vein_dens_mm2,Date.Created,Lf3_wetMg,Lf4_wetMg,dry_shootsG,Lf4_dryMg,IRGA_ID,IRGA_date,Photo,Cond,Fo,Fm,Fs,Fv,FvFm,VpdL,C02R,PARi,Microcope,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,SLA
67,851,851B,B,4,CGN07129,oleracea,parent,0.000187067,0.00026255,1.403508772,0.001399,6616525,165.042068,12.74468982,303,911,312,17632.5609,0.034510466,10,3216,348,0.0028736,NA,0.0028736,117971.4567,339.0027781,0.145602229,54.6364644,5.710471998,4/20/14,1830.8,549.2,0.24,63.5,IRGA_5,20-Apr-14,24.405454,0.41687814,501.6030273,929.2022705,665.1804199,427.5992432,0.460178862,1.665235,399.3243,1499.424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.174,39.402,5.996628204,0.679905512
68,853,853B,B,4,PI 459018 ,rapa,parent,0.000137839,0.000147684,1.071428571,0.001399,4406826,95.10243314,11.02631249,171,482,160,22130.6125,0.043314057,10,3216,348,0.0028736,NA,0.0028736,67978.86572,195.3440685,0.182745236,36.38970484,4.396847973,4/23/14,565.3,714.6,0.22,57.1,IRGA_5,22-Apr-14,29.5358,0.74489881,524.2109375,1184.364868,839.800293,660.1539307,0.557390673,1.480043,400.545,1499.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.32,30.298,8.006495286,0.250788091
69,856,856B,B,4,CGN06813,rapa,parent,8.53E-05,0.000177221,2.076923077,0.0029784,5010994,212.0302685,4.769885282,165,433,141,25775.50355,0.228651052,NA,NA,NA,NA,NA,0.0029784,71189.31927,212.0302685,0.228651052,44.45185911,3.17197082,4/21/14,NA,4714.5,0.66,329.5,IRGA_4,20-Apr-14,10.93269,0.06228375,326.9675293,563.0273438,452.0908203,236.0598145,0.4301535,1.632443,399.8856,1499.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.39,63.134,6.00894791,0.335022762
70,863,863B,B,4,CGN06619,nigra,parent,9.19E-05,0.000173939,1.892857143,0.001399,4506983,96.19754096,10.90542566,235,434,118,27084.70339,0.053010209,10,3216,348,0.0028736,NA,0.0028736,68761.64472,197.5934623,0.223654023,37.21675898,3.170614616,4/14/14,704.7,806.7,0.09,62.6,IRGA_4,13-Apr-14,25.271156,0.65670727,358.3525391,792.8662109,612.7011719,434.5136719,0.548028994,1.414184,399.4955,1499.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.624,33.558,7.389407545,0.329456869
71,890,890B,B,4,PI 470241,juncea,hybrid,0.000147684,0.000164094,1.111111111,0.0029784,5009080,254.9859781,5.73841938,266,636,195,18159.73846,0.161092617,NA,NA,NA,NA,NA,0.0029784,85611.73048,254.9859781,0.161092617,44.43488027,4.388444367,4/20/14,872.7,735.9,NA,41,IRGA_5,20-Apr-14,29.483756,0.69525155,496.6518555,1056.986328,749.9169922,560.3344727,0.530124617,1.638294,400.1371,1501.07,Aven Nelson,3,246.259,174.019,218339.508,67.061,55.274,65298.502,45.855,14.109,25955.009,18.812,10.582,18972.655,20.009,31.389,7.017215079,0.48802439
72,893,893B,B,4,PI 173857,juncea,hybrid,7.88E-05,0.000167376,2.125,0.0029784,3491229,165.1710221,5.333219684,134,357,115,23575.92174,0.209138856,NA,NA,NA,NA,NA,0.0029784,55456.29266,165.1710221,0.209138856,30.97022659,3.71324374,4/16/14,1506.8,1017.6,0.17,74.2,IRGA_5,15-Apr-14,28.965935,0.54745952,428.4477539,943.3221436,616.3088379,514.8743896,0.545809714,1.533142,400.9529,1501.913,Aven Nelson,2,204.815,146.387,169846.402,113.842,68.783,88817.191,65.309,9.7,33131.771,25.815,8.993,15942.225,35.4,53.228,8.946198233,0.477088949
73,907,907B,B,4,CGN06620,nigra,parent,9.85E-05,0.000134557,1.366666667,0.0029784,5016176,301.4024602,6.773419606,337,899,285,14515.49474,0.128765017,NA,NA,NA,NA,NA,0.0029784,101196.0986,301.4024602,0.128765017,44.49782794,6.404807003,4/13/14,1048.1,1045.9,0.26,84.8,IRGA_4,12-Apr-14,27.417364,0.49767404,NA,NA,NA,NA,NA,1.455677,400.0735,1500.51,AV,3,109.347,82.305,96806.578,61.141,24.691,45988.354,37.625,9.406,16902.6,19.988,5.879,15899.455,34.023,44.271,7.589847143,0.401214623
74,913,913B,B,4,CGN07143 ,rapa,parent,0.000108302,0.000180503,1.666666667,0.0029784,4418368,259.9887079,6.633252882,242,676,226,15624.85841,0.138606034,NA,NA,NA,NA,NA,0.0029784,87291.40072,259.9887079,0.138606034,39.19475294,5.766077932,4/11/14,1268.5,678.3,0.23,71.3,Berry,11-Apr-14,NA,0.03947212,519.2944336,824.8590698,712.1269531,305.5646362,0.370444658,1.550222,399.1681,1498.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.168,32.947,5.998499351,0.423113604
75,916,916B,B,4,CGN06709 ,rapa,parent,8.20E-05,0.00015753,1.92,0.0029784,5012268,230.1930255,5.177162902,214,500,155,25375.95484,0.225106709,NA,NA,NA,NA,NA,0.0029784,77287.47836,230.1930255,0.225106709,44.46316059,3.486031986,4/12/14,1125.6,1156.9,0.3,99.7,IRGA_5,12-Apr-14,21.947942,0.3433979,487.7287598,953.6000977,698.4916992,465.8713379,0.488539524,1.644943,401.2273,1499.429,Aven Nelson,2,149.072,111.115,130950.826,113.76,78.503,93829.027,30.877,8.862,21604.938,26.47,7.937,18391.765,28.947,40.777,7.579027635,0.290341023
76,934,934B,B,4,CGN14031,oleracea,parent,0.000131275,0.000196912,1.5,0.0029784,5031473,374.7826282,8.396886046,333,1395,546,8002.520147,0.070989288,NA,NA,NA,NA,NA,0.0029784,125833.5442,374.7826282,0.070989288,44.63352558,12.23295702,4/17/14,1371.9,262.1,0.25,40,Berry,11-Apr-14,16.434089,0.15236736,559.1647949,1007.395447,766.9176025,448.2306519,0.444940121,1.638631,400.3509,1502.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.324,32.022,5.547149751,0.8331
77,946,946B,B,4,CGN06627,nigra,parent,0.000150966,0.000226449,1.5,0.0029784,5026540,354.9461494,7.960260492,356,1115,400,10386.6175,0.092138298,NA,NA,NA,NA,NA,0.0029784,119173.4319,354.9461494,0.092138298,44.5897656,8.970668373,4/21/14,1626.6,1283.4,0.28,98.4,IRGA_4,20-Apr-14,29.582212,0.45498393,349.7102051,800.2700195,514.052002,450.5598145,0.563009739,1.512794,399.8803,1498.645,AV,3,135.215,102.293,118457.397,132.863,84.656,100897.698,38.801,11.758,22885.697,33.51,NA,13579.78,40.771,72.175,11.30345242,0.414339431
78,948,948B,B,4,PI120923,juncea,hybrid,0.000118147,0.000144402,1.222222222,0.0029784,5006924,325.4322325,7.326954924,321,985,350,11833.04571,0.10496937,NA,NA,NA,NA,NA,0.0029784,109264.1124,325.4322325,0.10496937,44.41575468,7.880086751,4/17/14,2612.7,2023.6,0.35,138.5,Berry,17-Apr-14,23.938899,0.30388314,538.6828613,1051.375854,744.4862671,512.6929932,0.487640068,1.297127,400.4824,1497.813,AV,4,190.476,138.742,167799.676,81.129,54.086,72667.339,31.746,12.93,18078.379,24.691,9.41,15762.592,47.002,58.7,8.562092831,0.339364621
79,958,958B,B,4,CGN03952,carinata,hybrid,9.85E-05,0.00015753,1.6,0.0029784,5021358,280.6318329,6.300132752,321,735,224,17635.44643,0.156441692,NA,NA,NA,NA,NA,0.0029784,94222.34518,280.6318329,0.156441692,44.54379677,5.028758576,4/17/14,2744.8,1889.6,0.15,177.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AV,4,192.828,122.281,160325.081,108.172,102.293,96642.498,50.558,9.406,25587.19,31.746,8.23,13226.736,60.386,57.559,7.407047143,0.340202817
80,960,960B,B,4,CGN03976,carinata,hybrid,0.000131275,0.00021004,1.6,0.0029784,5026540,388.2639768,8.707468443,449,1326,470,9030.280851,0.080106416,NA,NA,NA,NA,NA,0.0029784,130359.917,388.2639768,0.080106416,44.5897656,10.54053534,4/14/14,3656.9,958.6,0.13,115.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aven Nelson,3,162.296,128.16,150805.315,78.812,67.019,68066.87,49.383,15.465,27350.08,34.179,12.934,26513.349,34.898,41.445,7.015713974,0.301364421
81,969,969B,B,4,CGN06897,napus,hybrid,5.91E-05,9.19E-05,1.555555556,0.0029784,5021358,229.2618462,5.146885636,346,476,99,31467.34343,0.279142622,NA,NA,NA,NA,NA,0.0029784,76974.83178,229.2618462,0.279142622,44.54379959,2.222531551,4/15/14,3308.3,2243.9,0.3,179,IRGA_3,15-Apr-14,21.677026,0.31914047,378.4099121,710.7189941,512.611084,332.309082,0.46756747,1.383993,400.6629,1501.474,Aven Nelson,2,176.465,111.755,157202.89,147.203,105.925,122537.63,37.643,15.285,30574.919,46.096,10.647,23799.415,76.781,44.051,5.027231559,0.428944134
82,972,972B,B,4,CGN14070,oleracea,parent,8.86E-05,0.000137839,1.555555556,0.0029784,5023954,203.6268118,4.569021696,261,377,91,40495.28571,0.359228299,NA,NA,NA,NA,NA,0.0029784,68367.85029,203.6268118,0.359228299,44.56682836,2.041877408,4/20/14,2996.8,2234.7,0.3,173.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AV,5,191.652,165.785,177541.067,142.269,112.875,123669.861,39.976,7.05,22880.254,35.27,8.818,15532.413,56.299,43.979,5.861314294,0.323929804
83,982,982B,B,4,CGN14113,napus,hybrid,6.56E-05,0.000134557,2.05,0.0029784,5038848,213.5271258,4.777005222,166,441,141,29280.15603,0.259740373,NA,NA,NA,NA,NA,0.0029784,71691.88793,213.5271258,0.259740373,44.69895106,3.154436439,4/20/14,3110.9,2646.8,0.31,184.4,Berry,20-Apr-14,32.344048,0.49954562,NA,NA,NA,6.302734375,NA,1.536496,399.2359,1499.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.723,48.179,6.083371943,0.340146421
84,999,999B,B,4,CGN07230,napus,hybrid,6.24E-05,0.000108302,1.736842105,0.001399,12020752,131.956384,5.608714579,156,330,93,96491.8172,0.188853881,10,4288,728,0.00137363,NA,0.00137363,94321.93283,129.5634366,0.18206649,22.68146863,4.100263591,4/20/14,3459.2,2539.3,0.26,173.6,IRGA_5,20-Apr-14,26.190549,0.63392816,465.8984375,924.487915,667.4064941,458.5894775,0.496047022,1.396806,400.3273,1498.139,AV,4,219.871,181.07,199353.633,114.051,76.426,94225.619,51.73,9.41,19106.408,22.34,9.406,15449.984,71.998,67.336,7.935733922,0.414735023
85,1024,1024B,B,5,PI 459016 ,rapa,parent,0.000114866,0.000160812,1.4,0.001399,10162144,135.2388496,6.79955818,178,414,125,65935.76,0.129049535,10,4288,728,0.00137363,NA,0.00137363,96668.22702,132.7863767,0.124411507,19.1745367,6.519062337,4/25/14,670.9,582.1,0.11,44.7,IRGA_4,23-Apr-14,22.504176,0.31409493,329.0385742,660.5300293,487.2485352,331.4914551,0.499853004,1.558441,400.7362,1499.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.422,37.592,9.572493555,0.345011186
86,1032,1032B,B,5,PI 459020 ,rapa,parent,0.000134557,0.000193631,1.43902439,0.001399,12141612,215.4396608,9.065961643,332,864,276,37328.65942,0.07305969,10,4288,728,0.00137363,NA,0.00137363,153995.4688,211.5327958,0.070433931,22.90951445,12.04739632,4/17/14,587.1,308.4,0.11,39.6,Berry,17-Apr-14,29.625432,0.41594663,532.3029785,1136.420654,726.9505615,604.1176758,0.531596881,1.298559,399.0253,1497.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.812,27.969,7.033695063,0.399292929
87,1059,1059B,B,5,CGN06710 ,rapa,parent,9.85E-05,0.000190349,1.933333333,0.001399,12057578,184.4968872,7.817961622,290,628,178,56519.92135,0.110620847,10,4288,728,0.00137363,NA,0.00137363,131877.6892,181.1511502,0.106645143,22.75095411,7.8238477,4/11/14,895.6,604.3,0.06,69.9,IRGA_3,11-Apr-14,22.828649,0.35014283,355.3864746,702.7446289,511.6821289,347.3581543,0.494287882,1.4318,400.9773,1501.106,Aven Nelson,3,137.795,80.266,111938.511,86.532,62.61,74486.996,20.301,8.818,19853.712,30.864,7.272,16497.454,23.721,42.333,8.691856544,0.339356223
88,1072,1072B,B,5,CGN17374,napus,hybrid,0.000134557,0.000216604,1.609756098,0.001399,12124363,281.4037366,11.8586568,478,1468,520,20173.45,0.039483497,10,4288,728,0.00137363,NA,0.00137363,NA,276.3006538,0.038064463,22.87696802,22.73028487,4/14/14,1244.5,283.1,0.13,29.5,IRGA_3,13-Apr-14,17.99885,0.37428544,353.9882813,652.4458008,520.6591797,298.4575195,0.457444157,1.626833,399.732,1499.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.429,38.24,6.613878173,NA
89,1085,1085B,B,5,CGN07145,rapa,parent,0.000147684,0.000206758,1.4,0.0029784,12151384,358.667831,3.327366037,266,541,148,61941.33108,NA,10,4288,728,0.00137363,NA,0.00137363,120422.9854,165.4166254,0.116874581,22.92795284,6.455002809,4/20/14,4310.6,3714.8,0.51,218.3,Berry,20-Apr-14,29.035072,0.45501986,NA,NA,NA,3.540771484,NA,1.466853,399.9247,1500.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.272,65.723,6.995292775,0.404360971
90,1096,1096B,B,5,PI 633094,juncea,hybrid,9.19E-05,0.000193631,2.107142857,0.0029784,4999359,254.2029209,5.7319206,206,642,224,17927.36161,0.159031233,NA,NA,NA,NA,NA,0.0029784,85348.81845,254.2029209,0.159031233,44.34864657,5.050886945,4/24/14,5375.4,4308.3,1.11,248.5,IRGA_4,22-Apr-14,34.546173,0.56192411,306.6835938,723.5285645,452.7263184,416.8449707,0.57612787,1.435568,400.8407,1498.859,AV,3,170.488,131.687,154704.36,131.687,83.48,112806.348,56.437,9.406,21611.159,25.867,5.879,22614.304,91.892,NA,9.972740018,0.36978672
91,1101,1101B,B,5,CGN07129,oleracea,parent,0.000183785,0.000249422,1.357142857,0.0029784,5011783,404.8766931,9.106772177,466,1425,512,8178.808594,0.07255312,NA,NA,NA,NA,NA,0.0029784,135937.6488,404.8766931,0.07255312,44.45885822,11.51626516,4/21/14,1833.6,633.3,0.28,51,IRGA_4,20-Apr-14,19.28373,0.27964905,339.8969727,629.0698242,485.8010254,289.1728516,0.459683235,1.440359,400.273,1501.195,AV,4,106.996,79.953,99954.431,94.062,56.437,70795.579,12.93,7.937,13739.195,11.758,4.409,12611.629,40.801,42.243,6.613317137,0.800019608
92,1113,1113B,B,5,CGN06619,nigra,parent,5.25E-05,0.000131275,2.5,0.0029784,4956713,219.2795597,4.986988085,204,461,133,27785.52632,0.246481696,NA,NA,NA,NA,NA,0.0029784,73623.27414,219.2795597,0.246481696,43.9703396,3.024766268,4/12/14,542.4,756.4,0.15,77.6,IRGA_4,11-Apr-14,26.088011,0.42636715,269.2497559,542.4401855,371.9521484,273.1904297,0.503632358,1.341808,399.3677,1498.664,Aven Nelson,3,123.485,107.674,118976.855,59.971,28.232,49530.466,30.915,10.582,20312.515,31.795,7.937,18967.212,18.007,32.495,7.657656108,0.232048969
93,1140,1140B,B,5,PI 470241,juncea,hybrid,9.85E-05,0.000187067,1.9,0.0029784,5022660,234.5664559,5.264608483,225,525,157,24322.76433,0.215763997,NA,NA,NA,NA,NA,0.0029784,78755.86082,234.5664559,0.215763997,44.55534664,3.523707296,4/17/14,1447.6,1053.7,0.12,72,Berry,16-Apr-14,26.969667,0.44241413,544.7246094,1129.446533,794.1932983,584.7219238,0.517706599,1.415201,401.1487,1501.184,AV,3,181.07,144.621,165931.027,90.535,64.668,74300.365,37.625,8.23,19104.075,27.043,9.406,14598.478,33.736,43.947,7.566280537,0.468555556
94,1143,1143B,B,5,PI 173857,juncea,hybrid,0.000101738,0.000131275,1.290322581,0.0029784,5018780,239.7499756,5.385107368,208,552,184,21541.72283,0.191093749,NA,NA,NA,NA,NA,0.0029784,80496.23141,239.7499756,0.191093749,44.52092767,4.132887826,4/13/14,1139.7,1166.3,0.2,92.8,Berry,13-Apr-14,29.83047,0.58628081,551.984375,1250.374268,862.9972534,698.3898926,0.558544678,1.393232,400.5787,1501.749,AV,4,165.785,134.039,147792.771,81.129,54.086,59131.883,45.855,7.643,15934.449,23.81,9.7,13171.524,29.347,43.805,8.086150657,0.316239224
95,1157,1157B,B,5,CGN06620,nigra,parent,6.24E-05,0.000177221,2.842105263,0.001399,12074542,183.4569213,7.762971747,306,602,163,56433.25153,0.110451216,10,4288,728,0.00137363,NA,0.00137363,131134.3254,180.1300435,0.10648161,22.78296279,7.154468954,4/12/14,872.1,1225.5,0.15,113.4,IRGA_3,12-Apr-14,25.399707,0.36990328,357.9401855,775.1230469,550.8918457,417.1828613,0.538215014,1.637751,400.8591,1498.719,AV,3,114.051,74.074,103564.974,79.953,54.086,61189.496,32.114,7.05,18456.308,23.516,5.879,14988.849,26.217,39.654,7.744537825,0.231190476
96,1163,1163B,B,5,CGN07143 ,rapa,parent,0.000111584,0.000173939,1.558823529,0.001399,3881480,95.28265286,12.54241188,230,410,113,26526.93694,0.051918547,10,3216,348,0.0028736,NA,0.0028736,68107.68611,195.7142468,0.219048223,32.05161982,3.525562846,4/11/14,1510.9,966.3,0.21,80.7,Berry,11-Apr-14,12.888196,0.10580698,485.0905762,864.366333,676.6536255,379.2757568,0.438790525,1.508065,400.4841,1499.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.785,39.336,6.485669518,0.45582404
97,1166,1166B,B,5,CGN06709 ,rapa,parent,0.000101738,0.000229731,2.258064516,0.001399,12199360,196.7925404,8.242067285,271,735,241,42722.69295,0.083616897,10,4288,728,0.00137363,NA,0.00137363,140666.5764,193.2238293,0.080611714,23.01847681,10.46985003,4/13/14,1653.8,1245.2,0.25,101.3,IRGA_5,13-Apr-14,25.77205,0.2902236,518.1308594,977.7415771,693.5458984,459.6107178,0.47007382,1.556939,400.2903,1498.268,Aven Nelson,3,138.459,102.297,118517.274,112.906,78.488,103887.691,39.722,6.173,27358.634,42.411,7.272,22795.492,39.376,47.021,7.493350772,0.388706811
98,1184,1184B,B,5,CGN14031,oleracea,parent,0.000147684,0.000216604,1.466666667,0.001399,6402234,145.9579528,11.64825289,315,772,239,22322.22594,0.043689083,10,3216,348,0.0028736,NA,0.0028736,104330.2022,299.8032689,0.184327499,52.86693997,4.520783691,4/17/14,1608.6,223.6,0.27,38,IRGA_4,16-Apr-14,20.36891,0.33729012,374.3852539,754.534668,580.0144043,380.1494141,0.43062369,1.439522,399.5565,1498.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.636,38.187,5.84826865,NA
99,1191,1191B,B,5,CGN03969,carinata,hybrid,0.000111584,0.000144402,1.294117647,0.001399,5176151,118.676369,11.71444949,202,624,214,21076.98598,0.041251898,10,3216,348,0.0028736,NA,0.0028736,84829.42744,243.7658427,0.174044834,42.74246524,5.006730398,4/20/14,3168.4,2814.8,0.35,190.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.831,72.837,9.338767686,0.319155299
100,1196,1196B,B,5,CGN06627,nigra,parent,8.86E-05,0.000131275,1.481481481,0.0029784,5020070,309.7242298,6.955035679,251,961,358,11820.4162,0.104857335,NA,NA,NA,NA,NA,0.0029784,103990.1389,309.7242298,0.104857335,44.53237109,8.039095858,4/20/14,NA,1927.8,NA,156.3,Berry,20-Apr-14,24.835506,0.19523127,NA,NA,NA,4.90234375,NA,1.436631,398.7391,1500.307,AV,4,146.97,132.863,139105.848,112.881,71.723,88448.594,37.625,7.05,16177.847,17.64,7.05,12554.862,55.501,80.838,10.85088488,0.35509277
101,1198,1198B,B,5,PI120923,juncea,hybrid,6.89E-05,0.000137839,2,0.001399,12163130,135.7040975,5.700489942,153,351,109,89737.95413,0.175635214,10,4288,728,0.00137363,NA,0.00137363,97000.78452,133.2431876,0.1693229,22.95011589,4.749431354,4/20/14,2067.6,2405.1,0.79,124.3,IRGA_5,20-Apr-14,20.418675,0.24327584,501.7019043,1055.622681,832.5480957,553.9207764,0.524733682,1.374096,400.2698,1502.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.867,59.563,9.433433355,0.3207321
102,1208,1208B,B,5,CGN03952,carinata,hybrid,8.86E-05,0.000127993,1.444444444,0.001399,6413253,146.1583607,11.6442055,325,776,235,22983.14468,0.044982634,10,3216,348,0.0028736,NA,0.0028736,104473.4529,300.2149144,0.189785086,52.95793021,4.437484605,4/15/14,3317.3,2394.3,0.3,201.5,Berry,14-Apr-14,27.325402,0.37630359,604.5129395,1239.46814,868.9136353,634.9552002,0.512280372,1.401886,398.9775,1500.899,Microscopy Core,2,145.99,113.642,135230.907,110.002,61.321,81986.04,36.981,9.054,21779.888,18.041,7.263,14403.052,72.714,61.927,7.262247129,0.360863524
103,1210,1210B,B,5,CGN03976,carinata,hybrid,0.000164094,0.000187067,1.14,0.001399,6727564,175.7712318,13.34917816,315,940,337,16739.46726,0.032762502,16,3216,834,0.00119904,NA,0.00119904,125640.6231,150.6481328,0.024066281,9.672198053,NA,4/17/14,2505.9,602.8,0.31,72.2,IRGA_4,16-Apr-14,27.32857,0.42833757,301.4719238,602.411377,412.3991699,300.9394531,0.499558051,1.349583,400.7666,1499.982,Aven Nelson,5,216.138,182.616,187521.19,100.529,85.529,98875.078,60.847,15.971,31413.983,39.771,10.582,26741.973,54,48.833,6.645329589,0.747922438
104,1219,1219B,B,5,CGN06897,napus,hybrid,4.59E-05,0.000121429,2.642857143,0.0029784,5018780,192.7581272,4.329607158,161,331,101,36849.19802,0.326884318,NA,NA,NA,NA,NA,0.0029784,64718.68357,192.7581272,0.326884318,44.52092767,2.268596035,4/20/14,NA,NA,0.83,365.6,Berry,20-Apr-14,20.051832,0.1981254,NA,NA,NA,4.328125,NA,1.28868,398.8659,1502.396,AV,4,204.586,138.742,189343.181,164.609,96.414,124852.639,62.316,11.758,23307.174,28.22,15.29,16474.125,114.984,61.237,5.710776979,0.314507659
105,1222,1222B,B,5,CGN14070,oleracea,parent,7.88E-05,0.000150966,1.916666667,0.001399,12003661,144.1882008,6.137345493,190,378,101,91308.84158,0.178709756,10,4288,728,0.00137363,NA,0.00137363,103065.19,141.573437,0.172286944,22.64922031,4.459314652,4/15/14,1163.3,709.9,0.06,65.4,Berry,15-Apr-14,27.423702,0.34470984,509.1691895,989.3776245,672.5231323,480.2084351,0.485364155,1.321229,400.1766,1499.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.372,27.55,5.36475718,0.40324159
106,1231,1231B,B,5,Ames 2795 ,rapa,parent,0.000124711,0.000167376,1.342105263,0.001399,5777275,133.2537633,11.78476735,211,697,260,18358.60385,0.035931478,10,3216,348,0.0028736,NA,0.0028736,95249.29468,273.7083732,0.151597584,47.70629293,5.450014747,4/18/14,2017,956.2,0.17,103.4,IRGA_3,17-Apr-14,22.694579,0.45830498,396.1630859,795.6689453,563.7729492,399.5058594,0.502100606,1.512579,399.8998,1499.626,Aven Nelson,3,129.633,118.166,121092.012,95.275,68.789,82652.906,22.046,5.646,16300.713,25.588,6.173,16040.984,48.848,50.772,7.264418871,0.472417795
107,1232,1232B,B,5,CGN14113,napus,hybrid,8.86E-05,0.000164094,1.851851852,0.001399,3361992,78.81442465,11.97770479,127,407,143,20075.40559,0.039291604,10,4288,728,0.00137363,NA,0.00137363,56336.25779,77.38517379,0.037879467,6.34360613,22.54238316,4/15/14,1346.4,495.7,0.15,49.2,IRGA_5,14-Apr-14,22.062624,0.27820993,430.0461426,762.9482422,562.838623,332.9020996,0.436336413,1.366189,401.2618,1500.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.992,36.892,6.851617532,0.589268293
1,31,31M,M,1,PI 257240,juncea,hybrid,7.62E-05,0.000124654,1.636363636,0.0029784,5021358,202.7710366,4.552172272,203,383,100,35412.23,0.314137167,NA,NA,NA,NA,NA,0.0029784,68080.5253,202.7710366,0.314137167,44.54379677,2.244981507,4/20/14,4830,5933.1,0.4,NA,IRGA_5,20-Apr-14,20.130909,0.24442247,531.2636719,1127.6521,874.4997559,596.3884277,0.528876262,1.415317,399.7892,1500.643,Microscopy Core,2,206.94,174.019,184892.018,110.548,94.07,98813.645,45.991,9.479,25640.069,27.145,3.527,19098.632,85.721,51.667,5.580455264,0.19705977
2,72,72M,M,1,CGN17374,napus,hybrid,0.000103878,0.000166205,1.6,0.001399,10974303,182.0057273,8.473692083,228,690,239,39630.30508,0.077564473,10,4288,728,0.00137363,NA,0.00137363,130097.0174,178.705166,0.074776813,20.70696652,11.54200929,4/14/14,1736.6,821.2,0.14,117.2,IRGA_3,13-Apr-14,20.016449,0.37156849,345.6181641,682.6242676,533.8911133,337.0061035,0.493691947,1.550244,400.5237,1498.228,AV,3,141.093,106.996,121689.234,89.359,41.152,59147.436,34.392,9.406,20818.753,21.164,8.377,20216.866,45.49,51.712,7.667139522,0.388139932
3,101,101M,M,1,CGN07129,oleracea,parent,0.000214681,0.000249307,1.161290323,0.001399,6836178,148.0952983,11.06859456,255,700,239,23545.08368,0.046082461,16,3216,834,0.00119904,NA,0.00119904,105857.9688,126.9279389,0.033850694,9.828352066,NA,4/20/14,1437.9,224.2,0.2,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aven Nelson,3,96.411,77.852,86050.378,86.131,65.238,77372.01,32.341,12.283,19646.862,23.197,5.291,14628.805,37.153,37.338,6.125677203,NA
4,113,113M,M,1,CGN06619,nigra,parent,0.000103878,0.000221607,2.133333333,0.0029784,5013606,272.8840829,6.135669478,284,689,214,18042.37383,0.160051491,NA,NA,NA,NA,NA,0.0029784,91621.03241,272.8840829,0.160051491,44.47502981,4.811688737,4/20/14,1041.8,671.1,0.11,74.3,Berry,20-Apr-14,28.086455,0.39059258,NA,NA,NA,3.820800781,NA,1.407273,399.9086,1499.437,Aven Nelson,3,138.459,97.038,120276.277,54.738,25.634,42859.165,44.982,14.109,26622.217,31.746,7.11,19460.23,29.943,48.124,8.794558922,0.403001346
5,140,140M,M,1,PI 470241,juncea,hybrid,8.31E-05,0.000228532,2.75,0.0029784,5026540,235.0386513,5.271134489,247,530,158,23315.1962,0.206825994,NA,NA,NA,NA,NA,0.0029784,78914.40079,235.0386513,0.206825994,44.5897656,3.543414007,4/27/14,1623,1693.6,0.69,132.9,IRGA_5,26-Apr-14,16.445665,0.20232433,529.1611328,1186.270264,976.0965576,657.1091309,0.553928688,1.447135,399.985,1501.792,AV,3,213.992,165.785,173355.854,99.647,38.801,53914.753,39.242,8.524,22831.263,35.273,8.23,22123.619,38.576,48.462,7.802660966,0.290263356
