Plant,concat,loc,Block,ID,species,Category,adaxial_density,abaxial_density,ab_ad_density,B_end_points,M_end_points,T_end_points,B_branch_points,M_branch_points,T_branch_points,B_areole_num,M_areole_num,T_areole_num,B_skel_length_new_mm,M_skel_length_new_mm,T_skel_length_new_mm,B_areole_area_new_mmsq,M_areole_area_new_mmsq,T_areole_area_new_mmsq,B_vein_dens_mm2,M_vein_dens_mm2,T_vein_dens_mm2,dry_shootsG,Photo,Cond,WUE,Fo,Fm,Fs,Fv,FvFm,palisade_layers,palisade_max_depth,palisade_min_depth,palisade_area,spongey_max_depth,spongey_min_depth,spongey_area,Palisade_spongy,adaxial_max,adaxial_min,adaxial_area,abaxial_max,abaxial_min,abaxial_area,area_cm,perimeter_cm,dissection_index,LMA
782,782B,B,4,PI 459020 ,rapa,parent,3.94E-05,0.000144402,NA,105,156.5336788,184,253,337.0362694,374,77,96.50259067,99,156.5176205,204.4332535,216.854075,0.430877256,0.426548004,0.427396919,1.836809165,1.797291876,1.796103502,0.2,24.362927,0.58915258,71.2147957,325.9946289,719.328125,539.7817383,393.3334961,0.54680678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.317,39.363,7.673084837,3.040804094
822,822B,B,4,CGN17374,napus,hybrid,0.000111584,0.000154248,1.382352941,418,320,309,1182,804,667,406,255,202,353.0838771,292.6977615,266.150189,0.087651844,0.14455164,0.182662297,9.517514412,5.727643455,4.538365821,0.18,23.287207,0.34210485,88.24511073,292.5505371,567.9829102,416.833252,275.432373,0.48493074,3,117.578,98.765,103299.024,71.723,43.504,53554.709,1.92885044,43.504,8.23,19722.292,24.691,9.41,18256.457,28.732,48.494,9.047010185,3.317211971
835,835B,B,4,CGN07145,rapa,parent,9.19E-05,0.000167376,1.821428571,240,104,185,455,487,366,131,193,109,227.3177156,214.0065438,194.3722429,0.24178461,0.194659412,0.277590104,2.934868255,4.344206273,2.450813267,0.54,24.840447,0.26389232,32.94064521,479.3933105,932.9456787,679.8183594,453.5523682,0.486150886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.051,68.084,6.806664522,3.465770466
846,846B,B,4,PI 633094,juncea,hybrid,0.000154248,0.000236295,1.531914894,204,368,257,678,1077,738,259,371,249,198.7348426,326.7629708,279.2735956,0.071222715,0.083906681,0.140318085,11.71297425,9.596046335,5.578490041,0.27,32.286896,0.75409716,77.44924212,368.3635254,828.104248,536.7348633,459.7407227,0.555172521,3,143.782,117.337,128460.072,95.385,70.547,79892.314,1.607915275,38.174,7.272,22239.486,37.413,8.685,18942.328,62.762,60.201,7.598980291,3.164085015
851,851B,B,4,CGN07129,oleracea,parent,0.000187067,0.00026255,1.403508772,303,342,312.260274,911,742,852.7671233,312,205,272.8082192,339.0027781,306.5440494,306.142352,0.145602229,0.223853969,0.162699798,5.710471998,3.724882226,5.921259921,0.24,24.405454,0.41687814,32.76344877,501.6030273,929.2022705,665.1804199,427.5992432,0.460178862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.174,39.402,5.996628204,3.127779928
853,853B,B,4,PI 459018 ,rapa,parent,0.000137839,0.000147684,1.071428571,171,332,246,482,735,542,160,215,152,195.3440685,294.0518319,260.2352533,0.182745236,0.19821964,0.295505432,4.396847973,4.138580162,2.81002988,0.22,29.5358,0.74489881,474.213579,524.2109375,1184.364868,839.800293,660.1539307,0.557390673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.32,30.298,8.006495286,4.157615912
856,856B,B,4,CGN06813,rapa,parent,8.53E-05,0.000177221,2.076923077,165,173,122,433,297,226,141,73,56,212.0302685,176.656067,155.9960512,0.228651052,0.41445284,0.514782881,3.17197082,1.634409165,1.253793332,0.66,10.93269,0.06228375,16.64773713,326.9675293,563.0273438,452.0908203,236.0598145,0.4301535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.39,63.134,6.00894791,NA
863,863B,B,4,CGN06619,nigra,parent,9.19E-05,0.000173939,1.892857143,235,186,224,434,447,504,118,132,145,197.5934623,184.040877,248.463419,0.223654023,0.22430294,0.30404871,3.170614616,3.750228452,2.610035213,0.09,25.271156,0.65670727,36.34821958,358.3525391,792.8662109,612.7011719,434.5136719,0.548028994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.624,33.558,7.389407545,3.290044707
890,890B,B,4,PI 470241,juncea,hybrid,0.000147684,0.000164094,1.111111111,266,242,216,636,608,641,195,195,217,254.9859781,254.9928402,258.6634583,0.161092617,0.179417552,0.16058337,4.388444367,4.389037565,4.875373184,NA,29.483756,0.69525155,53.855591,496.6518555,1056.986328,749.9169922,560.3344727,0.530124617,3,246.259,174.019,218339.508,67.061,55.274,65298.502,3.343713888,45.855,14.109,25955.009,18.812,10.582,18972.655,20.009,31.389,7.017215079,3.892099805
893,893B,B,4,PI 173857,juncea,hybrid,7.88E-05,0.000167376,2.125,134,138,122,357,420,306,115,144,96,165.1710221,191.9024263,157.8406321,0.209138856,0.217824621,0.281018259,3.71324374,3.82337086,2.811208457,0.17,28.965935,0.54745952,58.20262395,428.4477539,943.3221436,616.3088379,514.8743896,0.545809714,2,204.815,146.387,169846.402,113.842,68.783,88817.191,1.912314498,65.309,9.7,33131.771,25.815,8.993,15942.225,35.4,53.228,8.946198233,3.268599534
